image_path,friction
clear\cam101_30-01_12-55.jpeg,0.8624
clear\cam101_30-01_13-08.jpeg,0.8614
clear\cam101_30-01_13-25.jpeg,0.8836
clear\cam101_30-01_16-21.jpeg,0.9348
clear\cam101_30-01_16-26.jpeg,0.8555
clear\cam101_30-01_16-40.jpeg,0.9593
clear\cam101_30-01_16-53.jpeg,0.8641
clear\cam101_30-01_18-57.jpeg,0.8686
clear\cam101_30-01_19-24.jpeg,0.9518
clear\cam101_30-01_19-50.jpeg,0.8912
clear\cam101_30-01_20-02.jpeg,0.9941
clear\cam101_30-01_20-19.jpeg,0.963
clear\cam101_30-01_20-32.jpeg,0.9647
clear\cam101_30-01_21-01.jpeg,0.8895
clear\cam101_30-01_21-13.jpeg,0.9018
clear\cam101_30-01_21-26.jpeg,0.9416
clear\cam101_30-01_21-55.jpeg,0.9616
clear\cam101_30-01_22-11.jpeg,0.8753
clear\cam101_30-01_22-24.jpeg,0.8914
clear\cam101_30-01_22-36.jpeg,0.9671
clear\cam101_30-01_23-05.jpeg,0.9561
clear\cam101_30-01_23-18.jpeg,0.8849
clear\cam101_30-01_23-34.jpeg,0.8913
clear\cam101_30-01_23-47.jpeg,0.9594
clear\cam101_31-01_00-16.jpeg,0.9165
clear\cam101_31-01_00-29.jpeg,0.9062
clear\cam101_31-01_00-47.jpeg,0.9257
clear\cam101_31-01_01-15.jpeg,0.949
clear\cam101_31-01_01-39.jpeg,0.9625
clear\cam101_31-01_01-52.jpeg,0.993
clear\cam101_31-01_02-23.jpeg,0.9097
clear\cam101_31-01_02-59.jpeg,0.9231
clear\cam101_31-01_03-45.jpeg,0.9028
clear\cam101_31-01_03-59.jpeg,0.9696
clear\cam101_31-01_04-12.jpeg,0.9594
clear\cam101_31-01_04-26.jpeg,0.8611
clear\cam101_31-01_04-56.jpeg,0.8974
clear\cam101_31-01_05-24.jpeg,0.8976
clear\cam101_31-01_05-37.jpeg,0.9004
clear\cam101_31-01_07-31.jpeg,0.9249
clear\cam102_02-02_09-48.jpeg,0.9909
clear\cam102_02-02_10-00.jpeg,0.9789
clear\cam102_02-02_10-15.jpeg,0.9946
clear\cam102_02-02_10-28.jpeg,0.9122
clear\cam102_02-02_10-41.jpeg,0.9719
clear\cam102_03-02_07-25.jpeg,0.9666
clear\cam102_03-02_08-00.jpeg,0.9183
clear\cam102_03-02_08-20.jpeg,0.9075
clear\cam102_03-02_08-34.jpeg,0.9139
clear\cam102_03-02_09-08.jpeg,0.8687
clear\cam102_03-02_09-38.jpeg,0.9023
clear\cam102_03-02_09-45.jpeg,0.852
clear\cam102_03-02_10-19.jpeg,0.9992
clear\cam102_03-02_10-37.jpeg,0.8769
clear\cam102_03-02_10-54.jpeg,0.8631
clear\cam102_03-02_11-09.jpeg,0.896
clear\cam102_03-02_11-26.jpeg,0.9704
clear\cam102_03-02_11-46.jpeg,0.9713
clear\cam102_03-02_12-03.jpeg,0.8798
clear\cam102_03-02_12-17.jpeg,0.8977
clear\cam102_07-02_08-24.jpeg,0.8872
clear\cam102_07-02_08-35.jpeg,0.9855
clear\cam102_07-02_08-53.jpeg,0.9518
clear\cam102_07-02_09-09.jpeg,0.898
clear\cam102_12-02_13-35.jpeg,0.9396
clear\cam102_12-02_13-51.jpeg,0.985
clear\cam102_12-02_14-10.jpeg,0.977
clear\cam102_12-02_14-24.jpeg,0.8707
clear\cam102_12-02_14-44.jpeg,0.8783
clear\cam102_12-02_15-13.jpeg,0.881
clear\cam102_12-02_15-33.jpeg,0.9753
clear\cam102_12-02_15-47.jpeg,0.8827
clear\cam102_12-02_16-07.jpeg,0.9511
clear\cam102_12-02_16-21.jpeg,0.8975
clear\cam102_12-02_17-16.jpeg,0.8741
clear\cam102_17-02_06-59.jpeg,0.9954
clear\cam102_17-02_07-14.jpeg,0.9694
clear\cam102_17-02_07-23.jpeg,0.9169
clear\cam102_17-02_07-27.jpeg,0.9012
clear\cam102_17-02_07-35.jpeg,0.9356
clear\cam102_17-02_07-42.jpeg,0.8783
clear\cam102_17-02_07-46.jpeg,0.9279
clear\cam102_17-02_07-53.jpeg,0.9515
clear\cam102_17-02_08-10.jpeg,0.9528
clear\cam102_17-02_08-27.jpeg,0.8901
clear\cam102_17-02_08-36.jpeg,0.9864
clear\cam102_17-02_08-47.jpeg,0.97
clear\cam102_17-02_08-57.jpeg,0.9423
clear\cam102_17-02_09-02.jpeg,0.92
clear\cam102_17-02_09-26.jpeg,0.9605
clear\cam102_17-02_09-31.jpeg,0.8888
clear\cam102_17-02_09-35.jpeg,0.9146
clear\cam102_17-02_09-43.jpeg,0.9057
clear\cam102_17-02_09-47.jpeg,0.9778
clear\cam102_17-02_10-06.jpeg,0.8822
clear\cam102_17-02_10-15.jpeg,0.9072
clear\cam102_30-01_07-28.jpeg,0.9517
clear\cam102_30-01_07-44.jpeg,0.9009
clear\cam102_30-01_07-57.jpeg,0.8782
clear\cam102_30-01_08-10.jpeg,0.9899
clear\cam102_30-01_09-29.jpeg,0.9544
clear\cam102_30-01_09-33.jpeg,0.9594
clear\cam102_30-01_09-50.jpeg,0.8565
clear\cam102_30-01_10-01.jpeg,0.8874
clear\cam102_30-01_10-16.jpeg,0.9994
clear\cam102_30-01_10-44.jpeg,0.9675
clear\cam102_30-01_11-00.jpeg,0.9761
clear\cam102_30-01_11-15.jpeg,0.891
clear\cam102_30-01_11-27.jpeg,0.9812
clear\cam102_30-01_11-45.jpeg,0.9715
clear\cam102_30-01_11-51.jpeg,0.9043
clear\cam102_30-01_12-07.jpeg,0.9408
clear\cam102_30-01_12-50.jpeg,0.9772
clear\cam102_30-01_13-04.jpeg,0.9555
clear\cam102_30-01_13-44.jpeg,0.9549
clear\cam102_30-01_13-58.jpeg,0.9094
clear\cam102_30-01_16-30.jpeg,0.9095
clear\cam102_30-01_16-44.jpeg,0.9468
clear\cam102_31-01_07-21.jpeg,0.9231
clear\cam102_31-01_07-34.jpeg,0.9988
clear\cam103_02-02_09-48.jpeg,0.9659
clear\cam103_02-02_09-53.jpeg,0.957
clear\cam103_02-02_10-07.jpeg,0.9301
clear\cam103_02-02_10-31.jpeg,0.8967
clear\cam103_02-02_10-45.jpeg,0.9351
clear\cam103_02-02_19-02.jpeg,0.9026
clear\cam103_02-02_19-32.jpeg,0.9308
clear\cam103_02-02_20-23.jpeg,0.8961
clear\cam103_02-02_20-43.jpeg,0.9882
clear\cam103_02-02_21-00.jpeg,0.9609
clear\cam103_02-02_21-14.jpeg,0.8826
clear\cam103_02-02_21-50.jpeg,0.994
clear\cam103_02-02_22-08.jpeg,0.9362
clear\cam103_02-02_22-23.jpeg,0.908
clear\cam103_02-02_22-41.jpeg,0.859
clear\cam103_02-02_23-18.jpeg,0.8617
clear\cam103_02-02_23-33.jpeg,0.86
clear\cam103_02-02_23-51.jpeg,0.9918
clear\cam103_03-02_00-09.jpeg,0.8547
clear\cam103_03-02_01-00.jpeg,0.8786
clear\cam103_03-02_01-19.jpeg,0.9298
clear\cam103_03-02_01-34.jpeg,0.9812
clear\cam103_03-02_01-56.jpeg,0.8879
clear\cam103_03-02_02-25.jpeg,0.9898
clear\cam103_03-02_02-52.jpeg,0.9001
clear\cam103_03-02_03-02.jpeg,0.9963
clear\cam103_03-02_03-19.jpeg,0.9642
clear\cam103_03-02_05-10.jpeg,0.8822
clear\cam103_03-02_05-19.jpeg,0.988
clear\cam103_03-02_07-18.jpeg,0.8836
clear\cam103_03-02_07-35.jpeg,0.9986
clear\cam103_03-02_07-52.jpeg,0.968
clear\cam103_03-02_08-20.jpeg,0.9002
clear\cam103_03-02_08-41.jpeg,0.9871
clear\cam103_03-02_09-01.jpeg,0.961
clear\cam103_03-02_09-38.jpeg,0.8984
clear\cam103_03-02_10-12.jpeg,0.9086
clear\cam103_03-02_10-27.jpeg,0.9384
clear\cam103_03-02_10-44.jpeg,0.9377
clear\cam103_03-02_11-02.jpeg,0.9562
clear\cam103_03-02_11-19.jpeg,0.9732
clear\cam103_03-02_11-39.jpeg,0.8973
clear\cam103_03-02_11-53.jpeg,0.9479
clear\cam103_03-02_12-11.jpeg,0.9677
clear\cam103_03-02_12-28.jpeg,0.8692
clear\cam103_07-02_08-24.jpeg,0.9711
clear\cam103_07-02_08-35.jpeg,0.9758
clear\cam103_07-02_08-53.jpeg,0.9698
clear\cam103_07-02_09-09.jpeg,0.9253
clear\cam103_12-02_13-35.jpeg,0.9339
clear\cam103_12-02_13-51.jpeg,0.981
clear\cam103_12-02_14-10.jpeg,0.9974
clear\cam103_12-02_14-24.jpeg,0.8598
clear\cam103_12-02_14-44.jpeg,0.9012
clear\cam103_12-02_14-59.jpeg,0.9839
clear\cam103_12-02_15-13.jpeg,0.8854
clear\cam103_12-02_15-33.jpeg,0.9683
clear\cam103_12-02_15-47.jpeg,0.8847
clear\cam103_12-02_16-26.jpeg,0.872
clear\cam103_12-02_16-41.jpeg,0.8612
clear\cam103_12-02_17-16.jpeg,0.8867
clear\cam103_17-02_04-27.jpeg,0.9789
clear\cam103_17-02_04-48.jpeg,0.9031
clear\cam103_17-02_07-03.jpeg,0.9666
clear\cam103_17-02_07-30.jpeg,0.9185
clear\cam103_17-02_07-38.jpeg,0.8745
clear\cam103_17-02_07-42.jpeg,0.9698
clear\cam103_17-02_07-50.jpeg,0.8934
clear\cam103_17-02_08-02.jpeg,0.9162
clear\cam103_17-02_08-10.jpeg,0.9145
clear\cam103_17-02_08-18.jpeg,0.865
clear\cam103_17-02_08-32.jpeg,0.907
clear\cam103_17-02_08-47.jpeg,0.8614
clear\cam103_17-02_08-57.jpeg,0.9841
clear\cam103_17-02_09-16.jpeg,0.9525
clear\cam103_17-02_09-26.jpeg,0.9583
clear\cam103_17-02_09-31.jpeg,0.9934
clear\cam103_17-02_09-38.jpeg,0.9682
clear\cam103_17-02_09-43.jpeg,0.9276
clear\cam103_17-02_09-52.jpeg,0.9013
clear\cam103_17-02_09-57.jpeg,0.9102
clear\cam103_17-02_10-02.jpeg,0.9882
clear\cam103_17-02_10-11.jpeg,0.9141
clear\cam103_17-02_17-05.jpeg,0.8775
clear\cam103_17-02_17-24.jpeg,0.9492
clear\cam103_17-02_19-10.jpeg,0.9507
clear\cam103_17-02_19-14.jpeg,0.9042
clear\cam103_17-02_19-23.jpeg,0.8756
clear\cam103_17-02_19-28.jpeg,0.9813
clear\cam103_17-02_19-33.jpeg,0.9945
clear\cam103_17-02_19-42.jpeg,0.8969
clear\cam103_17-02_19-46.jpeg,0.9877
clear\cam103_17-02_19-55.jpeg,0.9768
clear\cam103_17-02_20-00.jpeg,0.9404
clear\cam103_17-02_20-09.jpeg,0.8622
clear\cam103_17-02_20-18.jpeg,0.8863
clear\cam103_17-02_20-27.jpeg,0.8851
clear\cam103_17-02_20-32.jpeg,0.9881
clear\cam103_17-02_20-45.jpeg,0.8828
clear\cam103_17-02_20-50.jpeg,0.8903
clear\cam103_30-01_07-31.jpeg,0.9305
clear\cam103_30-01_07-47.jpeg,0.9416
clear\cam103_30-01_09-29.jpeg,0.9776
clear\cam103_30-01_09-40.jpeg,0.9739
clear\cam103_30-01_09-50.jpeg,0.9273
clear\cam103_30-01_10-05.jpeg,0.9454
clear\cam103_30-01_10-36.jpeg,0.9107
clear\cam103_30-01_10-47.jpeg,0.9485
clear\cam103_30-01_11-00.jpeg,0.952
clear\cam103_30-01_11-27.jpeg,0.9078
clear\cam103_30-01_11-45.jpeg,0.9959
clear\cam103_30-01_11-57.jpeg,0.9828
clear\cam103_30-01_12-30.jpeg,0.8611
clear\cam103_30-01_12-39.jpeg,0.9078
clear\cam103_30-01_13-04.jpeg,0.8693
clear\cam103_30-01_13-21.jpeg,0.9717
clear\cam103_30-01_13-33.jpeg,0.9675
clear\cam103_30-01_13-47.jpeg,0.9669
clear\cam103_30-01_14-01.jpeg,0.8656
clear\cam103_30-01_16-21.jpeg,0.9883
clear\cam103_30-01_16-35.jpeg,0.9105
clear\cam103_30-01_16-49.jpeg,0.8742
clear\cam103_30-01_18-52.jpeg,0.9942
clear\cam103_30-01_19-03.jpeg,0.8887
clear\cam103_30-01_19-33.jpeg,0.8745
clear\cam103_30-01_19-45.jpeg,0.9109
clear\cam103_30-01_19-58.jpeg,0.9054
clear\cam103_30-01_20-15.jpeg,0.9624
clear\cam103_30-01_20-40.jpeg,0.8897
clear\cam103_30-01_21-09.jpeg,0.9168
clear\cam103_30-01_21-22.jpeg,0.8663
clear\cam103_30-01_21-38.jpeg,0.9617
clear\cam103_30-01_22-20.jpeg,0.9811
clear\cam103_30-01_22-32.jpeg,0.9789
clear\cam103_30-01_22-48.jpeg,0.9062
clear\cam103_30-01_23-14.jpeg,0.9791
clear\cam103_30-01_23-43.jpeg,0.968
clear\cam103_30-01_23-59.jpeg,0.8751
clear\cam103_31-01_00-12.jpeg,0.9411
clear\cam103_31-01_00-24.jpeg,0.8955
clear\cam103_31-01_00-42.jpeg,0.9851
clear\cam103_31-01_00-56.jpeg,0.9902
clear\cam103_31-01_01-09.jpeg,0.8901
clear\cam103_31-01_01-25.jpeg,0.8557
clear\cam103_31-01_01-35.jpeg,0.9602
clear\cam103_31-01_01-52.jpeg,0.8607
clear\cam103_31-01_02-02.jpeg,0.9894
clear\cam103_31-01_02-19.jpeg,0.9399
clear\cam103_31-01_02-59.jpeg,0.9744
clear\cam103_31-01_03-31.jpeg,0.8561
clear\cam103_31-01_03-42.jpeg,0.9059
clear\cam103_31-01_04-09.jpeg,0.8831
clear\cam103_31-01_04-22.jpeg,0.9555
clear\cam103_31-01_04-37.jpeg,0.9729
clear\cam103_31-01_04-50.jpeg,0.8805
clear\cam103_31-01_05-18.jpeg,0.9174
clear\cam103_31-01_05-34.jpeg,0.9901
clear\cam106_02-02_18-55.jpeg,0.974
clear\cam106_02-02_19-09.jpeg,0.9738
clear\cam106_02-02_19-27.jpeg,0.8586
clear\cam106_02-02_19-47.jpeg,0.9078
clear\cam106_02-02_20-03.jpeg,0.9227
clear\cam106_02-02_20-17.jpeg,0.99
clear\cam106_02-02_20-38.jpeg,0.8591
clear\cam106_02-02_20-54.jpeg,0.9091
clear\cam106_02-02_21-09.jpeg,0.9798
clear\cam106_02-02_21-30.jpeg,0.9905
clear\cam106_02-02_21-45.jpeg,0.9395
clear\cam106_02-02_22-04.jpeg,0.9071
clear\cam106_02-02_22-18.jpeg,0.9151
clear\cam106_02-02_22-36.jpeg,0.8772
clear\cam106_02-02_22-55.jpeg,0.9795
clear\cam106_02-02_23-09.jpeg,0.9975
clear\cam106_02-02_23-28.jpeg,0.8762
clear\cam106_02-02_23-46.jpeg,0.9924
clear\cam106_03-02_00-00.jpeg,0.9449
clear\cam106_03-02_00-18.jpeg,0.9498
clear\cam106_03-02_00-37.jpeg,0.8578
clear\cam106_03-02_00-55.jpeg,0.9452
clear\cam106_03-02_01-30.jpeg,0.941
clear\cam106_03-02_01-45.jpeg,0.8614
clear\cam106_03-02_02-06.jpeg,0.8745
clear\cam106_03-02_02-20.jpeg,0.9168
clear\cam106_03-02_02-52.jpeg,0.9119
clear\cam106_03-02_02-55.jpeg,0.8737
clear\cam106_03-02_03-12.jpeg,0.8628
clear\cam106_03-02_05-10.jpeg,0.9689
clear\cam106_03-02_05-13.jpeg,0.9995
clear\cam106_03-02_05-29.jpeg,0.9718
clear\cam106_17-02_04-48.jpeg,0.9088
clear\cam106_17-02_19-14.jpeg,0.9653
clear\cam106_17-02_19-19.jpeg,0.927
clear\cam106_17-02_19-28.jpeg,0.9719
clear\cam106_17-02_19-33.jpeg,0.8833
clear\cam106_17-02_19-37.jpeg,0.9819
clear\cam106_17-02_19-46.jpeg,0.8892
clear\cam106_17-02_20-00.jpeg,0.892
clear\cam106_17-02_20-04.jpeg,0.9688
clear\cam106_17-02_20-09.jpeg,0.8679
clear\cam106_17-02_20-18.jpeg,0.8701
clear\cam106_17-02_20-32.jpeg,0.9217
clear\cam106_30-01_19-16.jpeg,0.9731
clear\cam106_30-01_19-33.jpeg,0.8527
clear\cam106_30-01_19-45.jpeg,0.9847
clear\cam106_30-01_19-58.jpeg,0.9458
clear\cam106_30-01_20-11.jpeg,0.9623
clear\cam106_30-01_20-24.jpeg,0.9035
clear\cam106_30-01_20-40.jpeg,0.9839
clear\cam106_30-01_21-22.jpeg,0.9227
clear\cam106_30-01_21-34.jpeg,0.9357
clear\cam106_30-01_21-47.jpeg,0.9495
clear\cam106_30-01_22-03.jpeg,0.8664
clear\cam106_30-01_22-15.jpeg,0.8526
clear\cam106_30-01_22-32.jpeg,0.8757
clear\cam106_30-01_22-44.jpeg,0.9909
clear\cam106_30-01_22-57.jpeg,0.9735
clear\cam106_30-01_23-43.jpeg,0.8685
clear\cam106_30-01_23-55.jpeg,0.9524
clear\cam106_31-01_00-08.jpeg,0.9294
clear\cam106_31-01_00-24.jpeg,0.9328
clear\cam106_31-01_01-20.jpeg,0.8714
clear\cam106_31-01_01-48.jpeg,0.9616
clear\cam106_31-01_02-02.jpeg,0.9403
clear\cam106_31-01_02-15.jpeg,0.8526
clear\cam106_31-01_02-27.jpeg,0.92
clear\cam106_31-01_03-31.jpeg,0.8932
clear\cam106_31-01_03-38.jpeg,0.8823
clear\cam106_31-01_03-52.jpeg,0.9872
clear\cam106_31-01_04-19.jpeg,0.8601
clear\cam106_31-01_05-02.jpeg,0.9643
clear\cam106_31-01_05-15.jpeg,0.9653
clear\cam106_31-01_05-30.jpeg,0.884
clear\cam110_02-02_09-50.jpeg,0.9321
clear\cam110_02-02_09-54.jpeg,0.997
clear\cam110_02-02_10-05.jpeg,0.8781
clear\cam110_02-02_10-17.jpeg,0.977
clear\cam110_02-02_10-32.jpeg,0.9468
clear\cam110_02-02_10-42.jpeg,0.9764
clear\cam110_02-02_18-57.jpeg,0.9632
clear\cam110_02-02_19-17.jpeg,0.9727
clear\cam110_02-02_19-33.jpeg,0.9018
clear\cam110_02-02_19-49.jpeg,0.9459
clear\cam110_02-02_20-05.jpeg,0.9954
clear\cam110_02-02_20-25.jpeg,0.9808
clear\cam110_02-02_20-40.jpeg,0.8662
clear\cam110_02-02_20-56.jpeg,0.865
clear\cam110_02-02_21-16.jpeg,0.9476
clear\cam110_02-02_21-32.jpeg,0.8967
clear\cam110_02-02_22-05.jpeg,0.9076
clear\cam110_02-02_22-24.jpeg,0.9006
clear\cam110_02-02_22-57.jpeg,0.9449
clear\cam110_02-02_23-15.jpeg,0.9444
clear\cam110_02-02_23-34.jpeg,0.9054
clear\cam110_02-02_23-53.jpeg,0.9557
clear\cam110_03-02_00-06.jpeg,0.9198
clear\cam110_03-02_00-25.jpeg,0.8921
clear\cam110_03-02_00-43.jpeg,0.9563
clear\cam110_03-02_01-01.jpeg,0.8615
clear\cam110_03-02_01-16.jpeg,0.9014
clear\cam110_03-02_01-36.jpeg,0.9555
clear\cam110_03-02_01-52.jpeg,0.9639
clear\cam110_03-02_02-07.jpeg,0.8807
clear\cam110_03-02_02-27.jpeg,0.8907
clear\cam110_03-02_02-53.jpeg,0.9383
clear\cam110_03-02_03-00.jpeg,0.9527
clear\cam110_03-02_03-17.jpeg,0.8974
clear\cam110_03-02_05-11.jpeg,0.9894
clear\cam110_03-02_05-20.jpeg,0.9616
clear\cam110_03-02_05-36.jpeg,0.8678
clear\cam110_03-02_07-16.jpeg,0.9214
clear\cam110_03-02_07-33.jpeg,0.8909
clear\cam110_03-02_07-50.jpeg,0.8699
clear\cam110_03-02_08-25.jpeg,0.9857
clear\cam110_03-02_08-42.jpeg,0.9181
clear\cam110_03-02_08-59.jpeg,0.9596
clear\cam110_03-02_09-39.jpeg,0.867
clear\cam110_03-02_09-53.jpeg,0.9344
clear\cam110_03-02_10-10.jpeg,0.9
clear\cam110_03-02_10-28.jpeg,0.9239
clear\cam110_03-02_10-45.jpeg,0.9717
clear\cam110_03-02_11-03.jpeg,0.9253
clear\cam110_03-02_11-17.jpeg,0.9986
clear\cam110_03-02_11-34.jpeg,0.9494
clear\cam110_03-02_11-54.jpeg,0.864
clear\cam110_03-02_12-08.jpeg,0.951
clear\cam110_03-02_12-25.jpeg,0.9787
clear\cam110_07-02_08-25.jpeg,0.8718
clear\cam110_07-02_08-28.jpeg,0.9593
clear\cam110_07-02_08-50.jpeg,0.9021
clear\cam110_07-02_09-06.jpeg,0.8957
clear\cam110_10-02_07-15.jpeg,0.8787
clear\cam110_12-02_13-37.jpeg,0.9352
clear\cam110_12-02_13-57.jpeg,0.9325
clear\cam110_12-02_14-31.jpeg,0.992
clear\cam110_12-02_15-25.jpeg,0.9343
clear\cam110_12-02_15-59.jpeg,0.9811
clear\cam110_12-02_16-13.jpeg,0.9775
clear\cam110_12-02_16-33.jpeg,0.9959
clear\cam110_12-02_16-52.jpeg,0.939
clear\cam110_12-02_17-08.jpeg,0.8603
clear\cam110_12-02_17-23.jpeg,0.9695
clear\cam110_17-02_04-34.jpeg,0.9119
clear\cam110_17-02_04-57.jpeg,0.9054
clear\cam110_17-02_06-57.jpeg,0.9567
clear\cam110_17-02_07-04.jpeg,0.9253
clear\cam110_17-02_07-08.jpeg,0.8619
clear\cam110_17-02_07-15.jpeg,0.9327
clear\cam110_17-02_07-28.jpeg,0.9212
clear\cam110_17-02_07-36.jpeg,0.9044
clear\cam110_17-02_07-55.jpeg,0.9979
clear\cam110_17-02_08-11.jpeg,0.9442
clear\cam110_17-02_08-15.jpeg,0.9448
clear\cam110_17-02_08-24.jpeg,0.8805
clear\cam110_17-02_08-29.jpeg,0.9938
clear\cam110_17-02_08-38.jpeg,0.9948
clear\cam110_17-02_08-50.jpeg,0.9305
clear\cam110_17-02_09-05.jpeg,0.9452
clear\cam110_17-02_09-20.jpeg,0.9212
clear\cam110_17-02_09-36.jpeg,0.9915
clear\cam110_17-02_09-49.jpeg,0.9833
clear\cam110_17-02_09-54.jpeg,0.9024
clear\cam110_17-02_10-08.jpeg,0.9699
clear\cam110_17-02_10-16.jpeg,0.9041
